#{"t_start": 1754345636.6857004, "env_id": "None"}
r,l,t
35.0,2,27.04336
20.0,5,27.159305
40.0,2,27.268417
25.0,4,27.402866
-15.0,6,27.552025
-18.0,6,27.575419
-24.0,6,27.610272
-22.0,6,27.642207
33.0,3,27.655707
31.0,3,27.76521
29.0,3,27.875523
-1.0,6,27.991392
28.0,4,28.008489
32.0,3,28.133102
37.0,2,28.248233
33.0,3,28.366504
40.0,2,28.474962
-29.0,6,28.620308
31.0,3,28.643012
-22.0,6,28.764434
36.0,4,28.779218
-21.0,6,28.899522
25.0,4,28.917037
21.0,4,29.030011
36.0,3,29.142923
-26.0,6,29.289588
36.0,2,29.296801
-21.0,6,29.41658
-30.0,6,29.444121
23.0,3,29.458025
41.0,3,29.56725
42.0,3,29.68779
16.0,4,29.816772
30.0,3,29.939793
28.0,4,30.066145
-26.0,6,30.21122
37.0,3,30.224652
32.0,4,30.334821
-22.0,6,30.481905
22.0,4,30.507663
14.0,5,30.625803
41.0,3,30.732783
-17.0,6,30.87876
37.0,3,30.88999
40.0,2,30.996959
31.0,3,31.118002
29.0,4,31.25605
34.0,3,31.3693
25.0,3,31.486029
-14.0,6,31.620499
23.0,4,31.643606
27.0,3,31.754027
39.0,2,31.863184
20.0,4,31.989854
-15.0,6,32.134693
26.0,3,32.151854
20.0,4,32.265474
35.0,2,32.371215
-13.0,6,32.512185
34.0,3,32.528793
14.0,4,32.641032
17.0,4,32.767607
23.0,4,32.894344
31.0,3,33.019025
26.0,5,33.156535
46.0,4,33.281309
44.0,2,33.389324
31.0,3,33.512363
-13.0,6,33.648781
-5.0,6,33.680083
26.0,3,33.699383
27.0,3,33.809748
34.0,3,33.919022
33.0,3,34.040171
41.0,2,34.145963
49.0,1,34.247603
36.0,3,34.358762
27.0,3,34.47145
-22.0,6,34.623208
-19.0,6,34.666213
24.0,5,34.696417
46.0,2,34.803398
27.0,3,34.911714
10.0,5,35.047881
-13.0,6,35.190434
18.0,4,35.213003
31.0,4,35.324779
-21.0,6,35.462559
34.0,3,35.482779
-13.0,6,35.60008
-15.0,6,35.624696
14.0,4,35.641082
12.0,5,35.757435
32.0,4,35.8908
23.0,4,36.023432
-15.0,6,36.167078
29.0,3,36.181083
26.0,3,36.291603
26.0,3,36.409949
-12.0,6,36.548105
26.0,4,36.570964
-26.0,6,36.689775
45.0,2,36.694962
45.0,2,36.799812
26.0,4,36.92978
22.0,4,37.057877
32.0,5,37.195338
39.0,2,37.306191
26.0,4,37.437906
35.0,3,37.559114
38.0,3,37.678246
54.0,3,37.791627
22.0,4,37.922284
37.0,3,38.030779
18.0,4,38.155371
39.0,3,38.274147
31.0,3,38.40592
27.0,5,38.540187
-22.0,6,38.688559
30.0,3,38.700053
32.0,3,38.809094
44.0,3,38.923867
33.0,4,39.04717
-13.0,6,39.194183
38.0,3,39.204782
28.0,4,39.317281
-7.0,6,39.451603
32.0,3,39.469499
29.0,3,39.57846
17.0,4,39.705109
-23.0,6,39.850031
27.0,4,39.866721
27.0,3,39.976157
37.0,3,40.101996
-26.0,6,40.2451
40.0,3,40.260001
42.0,3,40.368985
-23.0,6,40.51638
19.0,4,40.535026
41.0,2,40.64034
28.0,3,40.760737
37.0,3,40.873724
-14.0,6,41.018571
26.0,4,41.04
45.0,2,41.145561
-19.0,6,41.286229
28.0,3,41.302845
-23.0,6,41.417901
30.0,3,41.427279
40.0,4,41.553103
-23.0,6,41.671503
28.0,3,41.683671
-17.0,6,41.825336
28.0,3,41.840542
18.0,4,41.952084
21.0,4,42.080424
-20.0,6,42.220054
34.0,5,42.242702
43.0,4,42.356067
36.0,4,42.479782
10.0,5,42.621529
23.0,3,42.738117
41.0,2,42.851661
17.0,4,42.982097
36.0,2,43.096528
15.0,4,43.22838
22.0,4,43.360041
-20.0,6,43.509157
-21.0,6,43.544488
24.0,4,43.569854
16.0,4,43.694488
28.0,3,43.804272
32.0,3,43.913827
30.0,4,44.042326
41.0,2,44.154881
-13.0,6,44.298356
36.0,2,44.308424
42.0,4,44.419606
35.0,2,44.53211
25.0,4,44.654985
-20.0,6,44.801241
31.0,4,44.820127
-22.0,6,44.945546
27.0,3,44.959833
20.0,5,45.094983
35.0,4,45.232454
20.0,4,45.343763
-8.0,6,45.465505
-26.0,6,45.501487
44.0,3,45.522604
30.0,3,45.642399
26.0,5,45.766913
33.0,3,45.887966
32.0,4,46.016101
-5.0,6,46.157136
-20.0,6,46.187285
-24.0,6,46.219098
33.0,3,46.236189
40.0,3,46.345921
-22.0,6,46.465623
46.0,2,46.470412
16.0,4,46.581777
29.0,5,46.711758
26.0,4,46.838136
40.0,2,46.948905
-11.0,6,47.091668
32.0,5,47.116256
15.0,5,47.230684
20.0,4,47.346285
-20.0,6,47.496639
-20.0,6,47.518582
-14.0,6,47.550365
28.0,3,47.570241
35.0,4,47.683231
28.0,3,47.794361
30.0,3,47.916354
35.0,4,48.044333
28.0,4,48.168246
34.0,3,48.287083
40.0,4,48.413801
-17.0,6,48.557583
26.0,4,48.577434
11.0,6,48.695511
-19.0,6,48.720773
17.0,4,48.742538
-26.0,6,48.86307
36.0,4,48.879506
34.0,3,48.98899
46.0,2,49.095299
13.0,5,49.23655
26.0,4,49.366874
23.0,4,49.499032
41.0,4,49.627931
37.0,3,49.745879
39.0,4,49.869787
23.0,4,49.995051
32.0,4,50.125958
26.0,4,50.260466
-23.0,6,50.404349
34.0,3,50.419564
29.0,3,50.534392
21.0,5,50.668753
49.0,2,50.777496
36.0,4,50.904948
19.0,4,51.039362
36.0,3,51.161567
-19.0,6,51.300765
45.0,4,51.320191
-11.0,6,51.442844
-24.0,6,51.477146
33.0,3,51.499005
41.0,2,51.605326
41.0,3,51.71593
41.0,2,51.827548
21.0,4,51.953566
23.0,4,52.087438
19.0,5,52.236695
44.0,4,52.346259
27.0,3,52.466315
38.0,4,52.578099
26.0,4,52.707573
24.0,3,52.82574
36.0,3,52.940685
18.0,4,53.05826
-26.0,6,53.192183
-19.0,6,53.22335
25.0,4,53.24804
36.0,3,53.356298
32.0,3,53.465159
27.0,4,53.590229
39.0,4,53.712692
32.0,4,53.829922
